epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4551,1.27799,2.99147,1.76781,0.00771,1,0.59995,0.42735,0.79098,3.58938,1.78111,6.668e-05,6.668e-05,6.668e-05
2,84.7336,1.06662,2.7663,1.61877,0.00794,1,0.72833,0.40424,0.97699,3.56999,1.99861,0.000145079,0.000145079,0.000145079
3,126.586,1.12314,2.22164,1.63808,0.00838,1,0.70381,0.49918,0.90313,3.40445,1.89392,0.000217977,0.000217977,0.000217977
4,164.784,1.06635,1.88808,1.66479,0.00911,1,0.84894,0.42582,1.36317,3.44086,2.64231,0.000285374,0.000285374,0.000285374
5,204.772,1.02065,1.62202,1.57193,0.01127,1,0.93006,0.48535,1.31958,3.3969,2.41261,0.000347269,0.000347269,0.000347269
6,248.297,0.96715,1.55754,1.49962,0.83245,0.81818,0.89267,0.47161,1.32312,3.19011,2.22956,0.000403664,0.000403664,0.000403664
7,291.593,0.96368,1.52124,1.47831,0.73427,0.63636,0.86203,0.46829,1.25047,2.8562,2.21498,0.000454558,0.000454558,0.000454558
8,332.265,0.9639,1.45435,1.45422,0.7899,0.68597,0.79943,0.47562,1.22658,2.76316,2.22002,0.00049995,0.00049995,0.00049995
9,372.016,0.96091,1.40265,1.51536,0.85703,0.72727,0.79942,0.53609,1.14132,2.5274,2.02581,0.000539841,0.000539841,0.000539841
10,411.735,0.96748,1.32614,1.47539,0.77773,0.63619,0.67801,0.38513,1.08996,2.86457,1.93946,0.000574231,0.000574231,0.000574231
11,451.795,0.95097,1.30199,1.45144,0.34814,0.63143,0.36416,0.17718,1.35825,3.25479,2.26826,0.000603121,0.000603121,0.000603121
12,495.252,0.95981,1.38845,1.52927,0.32785,0.54545,0.41943,0.1558,1.83209,3.60316,2.67503,0.000626509,0.000626509,0.000626509
13,537.03,1.0008,1.35261,1.50502,0.44046,0.36364,0.4364,0.19436,1.97181,3.42507,2.98833,0.000644396,0.000644396,0.000644396
14,579.479,1.01986,1.32013,1.52762,0.33779,0.5114,0.29966,0.11291,1.89554,3.69606,2.79917,0.000656781,0.000656781,0.000656781
15,623.077,1.07438,1.48223,1.55964,0.50742,0.65659,0.5702,0.24894,1.85033,3.08484,2.98188,0.000663666,0.000663666,0.000663666
16,665.507,0.96945,1.2956,1.47848,0.59656,0.54545,0.54429,0.30379,1.817,2.88864,2.96376,0.00066505,0.00066505,0.00066505
17,707.834,0.89537,1.18699,1.43393,0.6473,0.63636,0.67725,0.29294,1.62775,3.10219,2.43597,0.000660932,0.000660932,0.000660932
18,749.686,0.9419,1.26659,1.47967,0.85507,0.54545,0.70104,0.34915,1.66014,2.9397,2.66695,0.000651314,0.000651314,0.000651314
19,791.804,0.88318,1.1962,1.41973,0.66784,0.81818,0.66274,0.35441,1.65291,2.72227,2.66941,0.000636194,0.000636194,0.000636194
